,video,short-term_memorability,nb_short-term_annotations,long-term_memorability,nb_long-term_annotations
0,7494,0.8573341463782833,33,0.8188847362014173,12
1,7495,0.8428485804766767,34,0.7399022713584753,10
2,7496,0.8922393057244901,32,0.8235285834484246,13
3,7497,0.8780952128230459,33,0.766175520017136,10
4,7498,0.846940819606342,33,0.7685190035876651,10
5,7499,0.8841403814971368,33,0.8166257735407646,13
6,7500,0.8904228227746868,33,0.8019199258666211,10
7,7502,0.8513243504717083,43,0.764607549839617,15
8,7503,0.8932815757240065,33,0.8298302246749811,11
9,7504,0.8750607415565426,33,0.7960583193787318,15
10,7505,0.8372238837762446,38,0.7602737348361224,10
11,7506,0.8612238187796554,34,0.7911995458529688,10
12,7507,0.8856262662969591,34,0.7860682685989013,12
13,7508,0.8639776550580973,33,0.7624072668616263,14
14,7510,0.8668893559885217,33,0.802255208620845,11
15,7511,0.8803503708598593,34,0.8399520982436449,18
16,7513,0.884685170408344,34,0.7853317130082185,19
17,7515,0.8899608939070384,33,0.7906720382754914,13
18,7516,0.8474106795013826,34,0.7569312160234065,11
19,7517,0.7779907253238824,33,0.7177912148810588,13
20,7518,0.873752315656035,33,0.7738867495447019,10
21,7519,0.8738187969640768,32,0.836356085555504,10
22,7520,0.7828346279158264,33,0.7011164946102549,14
23,7521,0.877947375723849,34,0.8146113877419252,14
24,7522,0.8944482683863075,33,0.8192197341271158,16
25,7523,0.8984898155089666,34,0.8144811708332739,14
26,7524,0.8592218172366695,50,0.8100137844771221,22
27,7525,0.887543196283286,42,0.8161274895475306,10
28,7526,0.8884165115462194,31,0.7842945194275901,20
29,7527,0.8547512843369647,33,0.749379435031929,17
30,7528,0.843570346192801,32,0.7385060278680692,10
31,7530,0.9017529124597384,34,0.7788574265558292,11
32,7531,0.8871684315719747,33,0.7735471349085291,14
33,7532,0.8436644372288169,33,0.7744272418282945,14
34,7533,0.8622804049741237,34,0.7257230829370691,9
35,7534,0.8480753262307038,34,0.7805063853131362,10
36,7535,0.8901859466742229,34,0.8003718849806033,10
37,7536,0.8272714028324869,46,0.7453467553940185,11
38,7538,0.8453432897150025,34,0.7824121679745537,10
39,7539,0.8811319148129705,32,0.8091493433477738,10
40,7540,0.8909501154004303,33,0.7816381833403608,10
41,7541,0.868108871963228,35,0.7608474534088522,10
42,7542,0.8550038415783243,33,0.7894699150156774,12
43,7543,0.8264268788041211,33,0.7507398687312944,12
44,7544,0.8318744967154911,34,0.776125752052491,11
45,7545,0.8921804734711154,33,0.8056001913587632,13
46,7546,0.8622617930037803,34,0.8154578658459943,14
47,7548,0.8936362374360578,38,0.8389993067663196,9
48,7549,0.8975734958901024,34,0.8004781433743619,13
49,7550,0.8838906582357517,56,0.7820802800697333,21
50,7552,0.8235625864969928,32,0.7525484541633439,16
51,7554,0.8769498562950704,51,0.7911952474325363,24
52,7555,0.8083212690488162,55,0.7465875728152227,13
53,7556,0.9037956481714836,33,0.8000475772708631,19
54,7558,0.8391311519405615,33,0.7601962317529055,16
55,7560,0.8436800948264568,33,0.7616823170415726,12
56,7562,0.8647763643505445,33,0.8171532604049685,10
57,7563,0.9018551419379718,32,0.814677982346405,16
58,7565,0.8836847169875629,34,0.8030416427559692,10
59,7566,0.8796702978891839,34,0.800557497188949,13
60,7567,0.818237612429809,32,0.7344936998246543,12
61,7568,0.8649923721261138,34,0.7852354842433095,13
62,7569,0.8389249070142206,43,0.7813825851689089,10
63,7571,0.8808733522898636,32,0.7831524741018346,11
64,7572,0.8983739270523164,34,0.8302054145233264,11
65,7573,0.8251031230829305,37,0.7657713628345796,11
66,7574,0.8842763684552251,36,0.7750568487810308,12
67,7575,0.8376211342581078,34,0.7882434737422145,14
68,7576,0.8753686668527935,33,0.8014516530903243,12
69,7578,0.8724723163861858,47,0.8079435232414208,11
70,7579,0.8583586774198951,33,0.8266514182763439,15
71,7580,0.8416870899848402,33,0.7658228169912012,17
72,7581,0.8637570838584446,33,0.7856050980175103,14
73,7582,0.8699387350069595,34,0.8037393642062317,10
74,7584,0.8816529094361755,34,0.81283293876012,10
75,7585,0.8806538613702485,41,0.7919000837263415,16
76,7587,0.8954669701030601,33,0.8130836216544455,16
77,7588,0.881332467453625,76,0.8214473753600273,16
78,7589,0.8368933464627932,35,0.760194678977921,11
79,7590,0.8895974322184589,58,0.7945022886360157,13
80,7591,0.8841543436326597,34,0.8030312405729603,10
81,7592,0.8284025863411923,33,0.739046325579889,11
82,7593,0.8828132119138432,33,0.8149677748706998,15
83,7596,0.8756518271824355,33,0.8075621692812724,12
84,7597,0.8707272775327487,33,0.7937165299448334,11
85,7598,0.8510017527947044,32,0.7937143314234427,11
